,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64,0.1411999225616455,0.009857757726096464,0.08880176544189453,0.005706562592668974,20,2,2,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.5,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.45454545454545453,39.09090909090909,0.07925270806437588,16
10,0.1565948486328125,0.013789171124815959,0.08981237411499024,0.002775658791121034,,2,2,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.5,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.45454545454545453,39.09090909090909,0.07925270806437588,16
37,0.14953289031982422,0.010957923015113873,0.09200124740600586,0.008390664089482372,10,2,2,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.5,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.45454545454545453,39.09090909090909,0.07925270806437588,16
21,0.08173422813415528,0.0063989894724102965,0.05040121078491211,0.0007998978647418439,,4,5,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
48,0.07760028839111328,0.00546116139302966,0.050999689102172854,0.0011129970338713351,10,4,5,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
45,0.08118934631347656,0.012437727698683985,0.053012943267822264,0.004550153451253041,10,4,2,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
18,0.08350172042846679,0.008696329984989563,0.05175161361694336,0.001495720471405468,,4,2,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
75,0.074165678024292,0.00560548692799182,0.050231552124023436,0.0014598064639033557,20,4,5,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
72,0.07450275421142578,0.005953804230643163,0.05049128532409668,0.0023316021669571863,20,4,2,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.45454545454545453,35.75757575757576,0.05875975584747065,19
78,0.072395658493042,0.004828238893592784,0.05000600814819336,0.0008811486167967223,20,4,10,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.45454545454545453,33.939393939393945,0.08865902326259269,25
24,0.09780049324035645,0.009494472387898602,0.056198740005493165,0.002713283915574601,,4,10,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.45454545454545453,33.939393939393945,0.08865902326259269,25
51,0.07939939498901367,0.007605197912271225,0.05140032768249512,0.00135650832721289,10,4,10,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.3333333333333333,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.45454545454545453,33.939393939393945,0.08865902326259269,25
76,0.1469090461730957,0.013570719111414777,0.08851852416992187,0.005336446173340374,20,4,5,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
79,0.13751626014709473,0.008997469783772985,0.0944819450378418,0.008835677583886412,20,4,10,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
73,0.13499922752380372,0.00642013004473309,0.08919978141784668,0.0047911210689241856,20,4,2,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
46,0.14827995300292968,0.004387326708206749,0.09030122756958008,0.004536736078898631,10,4,2,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
19,0.14505429267883302,0.005879026271780415,0.0910006046295166,0.007403705189446617,,4,2,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
49,0.13896164894104004,0.009795575977115265,0.0849024772644043,0.0011959872378973747,10,4,5,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
25,0.14560446739196778,0.013511851382779251,0.08796968460083007,0.004073931319764386,,4,10,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
52,0.15092391967773439,0.009185750952453867,0.086387300491333,0.0016328264674438885,10,4,10,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
22,0.1489262104034424,0.011579564282268931,0.093906831741333,0.010867824430477933,,4,5,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.4166666666666667,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.45454545454545453,33.78787878787879,0.12817143019731272,28
63,0.08578815460205078,0.005875561354919217,0.05220780372619629,0.0021293110287333053,20,2,2,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
69,0.07438006401062011,0.005814268600086328,0.050731229782104495,0.0012758903769218538,20,2,10,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
36,0.07430067062377929,0.0053077130024553505,0.050762367248535153,0.0011015552177500517,10,2,2,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
9,0.08303613662719726,0.01052745102958931,0.05340189933776855,0.0020605679897401238,,2,2,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
66,0.08899626731872559,0.015129087094068959,0.07152190208435058,0.039010209416618306,20,2,5,50,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
39,0.07309656143188477,0.005240464473821651,0.050614118576049805,0.00048511922981038643,10,2,5,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
12,0.07712779045104981,0.0055982428906082285,0.050786304473876956,0.0007672936998891263,,2,5,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
42,0.07136211395263672,0.004336829656291592,0.0517214298248291,0.003964322497547287,10,2,10,50,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
15,0.08822212219238282,0.005349345523194054,0.0525665283203125,0.0028470155026766968,,2,10,50,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 50}",0.5,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.36363636363636365,33.63636363636363,0.10601730717900547,37
53,0.28063035011291504,0.016630628004578832,0.17100725173950196,0.004000205724751337,10,4,10,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.2727272727272727,32.121212121212125,0.09111088714165398,46
80,0.2747498035430908,0.012093263166456354,0.16900906562805176,0.004816585201439011,20,4,10,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.2727272727272727,32.121212121212125,0.09111088714165398,46
26,0.2843667507171631,0.01420399729956584,0.17004780769348143,0.008366100857281343,,4,10,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.2727272727272727,32.121212121212125,0.09111088714165398,46
47,0.2772989273071289,0.015288165511135623,0.16973867416381835,0.002889170887449762,10,4,2,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
77,0.27491374015808107,0.018326033653760534,0.16740736961364747,0.0018349338495881901,20,4,5,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
50,0.2768719673156738,0.009756774635119331,0.17149949073791504,0.006493263703881983,10,4,5,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
74,0.26610260009765624,0.00713051175353239,0.16839933395385742,0.001356972558231073,20,4,2,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
20,0.26557178497314454,0.0089274751245542,0.16493124961853028,0.00143656147009079,,4,2,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
23,0.28684439659118655,0.018657302704840947,0.1655364990234375,0.004216977969630425,,4,5,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.3333333333333333,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.2727272727272727,30.303030303030305,0.12121212121212122,49
34,0.14363231658935546,0.004658693949053359,0.09039340019226075,0.00883301689861016,10,1,10,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.25,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,19.545454545454547,0.06363636363636363,55
32,0.31144347190856936,0.0398536089779567,0.1752408981323242,0.005681924250111959,10,1,5,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,19.545454545454547,0.06363636363636363,55
31,0.1680145263671875,0.023945822766175247,0.10351614952087403,0.014784370722374096,10,1,5,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.25,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,19.545454545454547,0.06363636363636363,55
5,0.3100024700164795,0.016318372243615663,0.17260527610778809,0.005167743631120339,,1,5,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,19.545454545454547,0.06363636363636363,55
59,0.29972062110900877,0.013995452385426096,0.17461366653442384,0.013826770792784663,20,1,5,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 200}",0.25,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,19.545454545454547,0.06363636363636363,55
28,0.15961055755615233,0.012066376968555009,0.08860077857971191,0.006771691531465646,10,1,2,100,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.16666666666666666,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,17.87878787878788,0.057814497055572456,60
29,0.3232131004333496,0.01976916210450029,0.18361945152282716,0.009724410013152792,10,1,2,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.16666666666666666,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,17.87878787878788,0.057814497055572456,60
61,0.15730443000793456,0.011321824514815358,0.09000763893127442,0.005543798517376963,20,1,10,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.25,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,17.72727272727273,0.050616039662091106,62
4,0.16430821418762206,0.0180300212164134,0.09711408615112305,0.010944669326207695,,1,5,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.25,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,17.72727272727273,0.0506160396620911,62
58,0.1578057289123535,0.008351619442933724,0.09120712280273438,0.003858426803254289,20,1,5,100,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.25,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,17.72727272727273,0.0506160396620911,62
7,0.15361604690551758,0.012367081737180386,0.09290294647216797,0.005255497483135975,,1,10,100,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 100}",0.25,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,17.72727272727273,0.050616039662091106,62
35,0.286077880859375,0.014798532432708301,0.16581196784973146,0.0024782640948251542,10,1,10,200,"{'estimator__max_depth': 10, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.25,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.18181818181818182,17.72727272727273,0.07660136157433053,62
56,0.3074177265167236,0.01973234498816744,0.17669997215270997,0.012502112382164522,20,1,2,200,"{'estimator__max_depth': 20, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.16666666666666666,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,16.06060606060606,0.03533910239300182,67
2,0.32219462394714354,0.025531732563755828,0.18096451759338378,0.008030747156225714,,1,2,200,"{'estimator__max_depth': None, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.16666666666666666,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,16.06060606060606,0.03533910239300182,67
